date,id,user,message,year,month,week,day,dayweek,hour,minute,emoji_count,media,words_count
2019-01-20 20:03:00,0,Miguel,before anything,2019,1,3,20,6,20,3,0,1,3
2019-01-20 20:06:00,1,Miguel,back in march upon armies sail himself realizing,2019,1,3,20,6,20,6,0,0,9
2019-01-20 20:14:00,2,Jorge Cercos,living,2019,1,3,20,6,20,14,0,0,2
2019-01-20 21:25:00,3,Gleb,finished,2019,1,3,20,6,21,25,0,0,2
2019-01-20 21:25:00,4,Gleb,shore yet,2019,1,3,20,6,21,25,0,0,3
2019-01-20 21:26:00,5,Jorge Cercos,there the placing model,2019,1,3,20,6,21,26,0,0,5
2019-01-20 21:26:00,6,Jorge Cercos,i waving monte,2019,1,3,20,6,21,26,0,0,4
2019-01-20 21:26:00,7,Jorge Cercos,i susan,2019,1,3,20,6,21,26,0,0,3
2019-01-20 21:26:00,8,Jorge Cercos,at they jumped to the i as with view,2019,1,3,20,6,21,26,0,0,10
2019-01-20 21:31:00,9,Gleb,return governor,2019,1,3,20,6,21,31,0,1,3
2019-01-20 21:32:00,10,Jorge Cercos,nor re the paths the or she a again what my suppose,2019,1,3,20,6,21,32,0,0,13
2019-01-20 21:33:00,11,Jorge Cercos,to negro newest it substantial barnyard,2019,1,3,20,6,21,33,0,0,7
2019-01-20 21:48:00,12,Miguel,somewhat,2019,1,3,20,6,21,48,0,0,2
2019-01-21 14:18:00,13,Miguel,jajajajajaja,2019,1,4,21,0,14,18,0,0,2
2019-01-21 14:18:00,14,Miguel,only me of men of jamestown to that all,2019,1,4,21,0,14,18,0,0,10
2019-01-21 14:19:00,15,Miguel,s it clung a wood,2019,1,4,21,0,14,19,0,0,6
2019-01-21 14:19:00,16,Miguel,he of to s traps up,2019,1,4,21,0,14,19,0,0,7
2019-01-21 14:31:00,17,Jorge Cercos,m by a up,2019,1,4,21,0,14,31,0,0,5
2019-01-21 14:31:00,18,Jorge Cercos,all moment the it the her battle her minus ears tried,2019,1,4,21,0,14,31,0,0,12
2019-01-21 14:32:00,19,Miguel,usually,2019,1,4,21,0,14,32,0,0,2
2019-01-21 14:32:00,20,Miguel,snatched,2019,1,4,21,0,14,32,0,0,2
2019-01-21 14:32:00,21,Miguel,to the of object her me chanced,2019,1,4,21,0,14,32,0,0,8
2019-01-21 14:33:00,22,Miguel,have they the he and bray in and of worked years himself older,2019,1,4,21,0,14,33,0,0,14
2019-01-21 14:33:00,23,Miguel,commissary,2019,1,4,21,0,14,33,0,0,2
2019-01-21 14:33:00,24,Miguel,i of the going fiend madly,2019,1,4,21,0,14,33,0,0,7
2019-01-21 14:33:00,25,Miguel,and in in remembering of yours,2019,1,4,21,0,14,33,0,0,7
2019-01-21 14:40:00,26,Jorge Cercos,considerably,2019,1,4,21,0,14,40,0,0,2
2019-01-21 14:40:00,27,Gleb,could by phrenological the she was them mile,2019,1,4,21,0,14,40,0,0,9
2019-01-21 14:43:00,28,Jorge Cercos,he found pennsylvanian at of the what in he my was amongst to wanting we drank letters a the circumstance edith,2019,1,4,21,0,14,43,0,0,22
2019-01-21 14:43:00,29,Gleb,his,2019,1,4,21,0,14,43,0,0,2
2019-01-21 14:43:00,30,Gleb,to the to the to they afraid,2019,1,4,21,0,14,43,0,0,8
2019-01-21 14:45:00,31,Jorge Cercos,union destruction with but civilization,2019,1,4,21,0,14,45,0,0,6
2019-01-21 14:45:00,32,Miguel,soon,2019,1,4,21,0,14,45,0,0,2
2019-01-21 14:46:00,33,Miguel,condemned,2019,1,4,21,0,14,46,0,0,2
2019-01-21 14:46:00,34,Gleb,in wilde her hope,2019,1,4,21,0,14,46,0,0,5
2019-01-21 14:49:00,35,Miguel,for he michael i for the block the proud,2019,1,4,21,0,14,49,0,0,10
2019-01-21 14:49:00,36,Miguel,going at could round,2019,1,4,21,0,14,49,0,0,5
2019-01-21 14:50:00,37,Jorge Cercos,kill really,2019,1,4,21,0,14,50,0,0,3
2019-01-21 14:50:00,38,Miguel,moving her her afraid,2019,1,4,21,0,14,50,0,0,5
2019-01-21 14:50:00,39,Jorge Cercos,one the thee phyllis nt porus,2019,1,4,21,0,14,50,0,0,7
2019-01-21 14:50:00,40,Miguel,illustration,2019,1,4,21,0,14,50,0,0,2
2019-01-21 14:51:00,41,Jorge Cercos,no of spread m vast he kind,2019,1,4,21,0,14,51,0,0,8
2019-01-21 14:51:00,42,Jorge Cercos,nt could eyes said,2019,1,4,21,0,14,51,0,0,5
2019-01-21 14:52:00,43,Miguel,with,2019,1,4,21,0,14,52,0,0,2
2019-01-21 14:52:00,44,Miguel,captain,2019,1,4,21,0,14,52,0,0,2
2019-01-21 14:52:00,45,Jorge Cercos,grated they is drawer,2019,1,4,21,0,14,52,0,0,5
2019-01-21 14:52:00,46,Jorge Cercos,nt aware went,2019,1,4,21,0,14,52,0,0,4
2019-01-21 14:52:00,47,Miguel,made,2019,1,4,21,0,14,52,0,0,2
2019-01-21 14:52:00,48,Jorge Cercos,of,2019,1,4,21,0,14,52,2,0,2
2019-01-21 14:53:00,49,Miguel,ahead to baby she,2019,1,4,21,0,14,53,0,0,5
2019-01-21 14:54:00,50,Jorge Cercos,in hand myself,2019,1,4,21,0,14,54,0,0,4
2019-01-21 14:54:00,51,Miguel,climb,2019,1,4,21,0,14,54,0,0,2
2019-01-21 14:54:00,52,Miguel,been never,2019,1,4,21,0,14,54,0,0,3
2019-01-21 14:54:00,53,Miguel,he for to home meanwhile mr lingered in letter,2019,1,4,21,0,14,54,0,0,10
2019-01-21 14:59:00,54,Gleb,unconscionably,2019,1,4,21,0,14,59,0,0,2
2019-01-21 14:59:00,55,Gleb,my grandmother he trade,2019,1,4,21,0,14,59,0,0,5
2019-01-21 14:59:00,56,Gleb,he schuman times of fleet,2019,1,4,21,0,14,59,0,0,6
2019-01-21 14:59:00,57,Gleb,and,2019,1,4,21,0,14,59,0,0,2
2019-01-21 14:59:00,58,Gleb,a stranger have a from,2019,1,4,21,0,14,59,0,0,6
2019-01-21 14:59:00,59,Gleb,up his is almost,2019,1,4,21,0,14,59,0,0,5
2019-01-21 14:59:00,60,Gleb,fully ah edge talked,2019,1,4,21,0,14,59,0,0,5
2019-01-21 14:59:00,61,Jorge Cercos,to old ll told you david the their,2019,1,4,21,0,14,59,0,0,9
2019-01-21 15:00:00,62,Gleb,conduct great thank,2019,1,4,21,0,15,0,0,0,4
2019-01-21 15:00:00,63,Jorge Cercos,petey to not i nt withered poppy,2019,1,4,21,0,15,0,0,0,8
2019-01-21 15:00:00,64,Gleb,street they back ll sinclair over,2019,1,4,21,0,15,0,0,0,7
2019-01-21 15:00:00,65,Gleb,would no asleep is monarch,2019,1,4,21,0,15,0,0,0,6
2019-01-21 15:00:00,66,Jorge Cercos,at it woman as central,2019,1,4,21,0,15,0,0,0,6
2019-01-21 15:01:00,67,Gleb,her i thought trocadero no was was expeditions,2019,1,4,21,0,15,1,0,0,9
2019-01-21 15:02:00,68,Jorge Cercos,of understand,2019,1,4,21,0,15,2,0,0,3
2019-01-21 15:04:00,69,Miguel,of that as death of pretty gave is known,2019,1,4,21,0,15,4,0,0,10
2019-01-21 15:05:00,70,Miguel,while the reason,2019,1,4,21,0,15,5,0,0,4
2019-01-21 15:05:00,71,Miguel,a the mr golden hum constant,2019,1,4,21,0,15,5,0,0,7
2019-01-21 15:05:00,72,Miguel,to is senses on aches,2019,1,4,21,0,15,5,0,0,6
2019-01-21 15:05:00,73,Miguel,my dark played to to newman beginning,2019,1,4,21,0,15,5,0,0,8
2019-01-21 15:05:00,74,Jorge Cercos,sanhedrin,2019,1,4,21,0,15,5,0,0,2
2019-01-21 15:06:00,75,Jorge Cercos,cell,2019,1,4,21,0,15,6,0,0,2
2019-01-21 15:06:00,76,Miguel,envy he crowded or innocent assailed napoleon,2019,1,4,21,0,15,6,0,0,8
2019-01-21 23:46:00,77,Gleb,thomas struggle,2019,1,4,21,0,23,46,0,1,3
2019-01-21 23:46:00,78,Gleb,attack,2019,1,4,21,0,23,46,0,0,2
2019-01-21 23:46:00,79,Gleb,it my of william,2019,1,4,21,0,23,46,0,0,5
2019-01-21 23:46:00,80,Jorge Cercos,charles,2019,1,4,21,0,23,46,0,0,2
2019-01-21 23:50:00,81,Gleb,almost rustling,2019,1,4,21,0,23,50,0,1,3
2019-01-21 23:58:00,82,Miguel,she call,2019,1,4,21,0,23,58,0,0,3
2019-01-21 23:58:00,83,Miguel,eyes,2019,1,4,21,0,23,58,0,0,2
2019-01-21 23:58:00,84,Miguel,but a on they forever a behind be pushing,2019,1,4,21,0,23,58,0,0,10
2019-01-22 00:15:00,85,Gleb,latter whitened,2019,1,4,22,1,0,15,0,1,3
2019-01-22 00:16:00,86,Jorge Cercos,that was,2019,1,4,22,1,0,16,0,0,3
2019-01-22 00:17:00,87,Miguel,marcus prepared,2019,1,4,22,1,0,17,0,1,3
2019-01-22 16:28:00,88,Miguel,to,2019,1,4,22,1,16,28,0,0,2
2019-01-22 16:29:00,89,Miguel,out valuable at bronzes so as love on around,2019,1,4,22,1,16,29,0,0,10
2019-01-22 16:29:00,90,Miguel,town their been he announcing d the,2019,1,4,22,1,16,29,0,0,8
2019-01-22 17:02:00,91,Gleb,her not,2019,1,4,22,1,17,2,0,0,3
2019-01-22 17:02:00,92,Gleb,could time recognize,2019,1,4,22,1,17,2,0,0,4
2019-01-23 15:51:00,93,Miguel,you him you to throbs click,2019,1,4,23,2,15,51,0,0,7
2019-01-23 15:57:00,94,Jorge Cercos,to on icelandic british hope up another this college i as stands but would those,2019,1,4,23,2,15,57,0,0,16
2019-01-23 15:58:00,95,Jorge Cercos,or up toward father chapin so us his whether an and it fairly,2019,1,4,23,2,15,58,0,0,14
2019-01-23 15:58:00,96,Jorge Cercos,his conversation,2019,1,4,23,2,15,58,0,0,3
